,angular,backbone,bootstrap,jquery,node,underscore
Kinky.nl,0.0,0.0,0.0,1.0,0.0,0.0
Knab.nl,1.0,0.0,0.0,0.0,0.0,0.0
Knmi.nl,0.0,0.0,0.0,0.0,0.0,0.0
Koopplein.nl,0.0,0.0,0.0,0.0,0.0,0.0
Kpnmail.nl,0.0,0.0,0.0,0.0,0.0,0.0
Kras.nl,0.0,0.0,0.0,1.0,0.0,0.0
Kruidvat.nl,1.0,0.0,0.0,1.0,0.0,0.0
Kudtkoekiewet.nl,0.0,0.0,0.0,0.0,0.0,0.0
Kvk.nl,0.0,0.0,0.0,0.0,0.0,0.0
Kwantum.nl,0.0,0.0,0.0,1.0,0.0,0.0
Landal.nl,0.0,0.0,0.0,0.0,0.0,0.0
Leenbakker.nl,0.0,0.0,0.0,1.0,0.0,0.0
Leidenuniv.nl,0.0,0.0,0.0,1.0,0.0,0.0
Lexa.nl,0.0,0.0,0.0,0.0,0.0,0.0
Lidl.nl,0.0,0.0,0.0,1.0,0.0,0.0
Lindanieuws.nl,0.0,0.0,0.0,0.0,0.0,0.0
Maastrichtuniversity.nl,0.0,0.0,0.0,0.0,0.0,0.0
Mailplus.nl,0.0,0.0,0.0,1.0,0.0,0.0
Makro.nl,0.0,0.0,0.0,0.0,0.0,0.0
Malmberg.nl,0.0,0.0,0.0,1.0,0.0,0.0
Marktplaats.nl,0.0,0.0,0.0,0.0,0.0,0.0
Mediamarkt.nl,0.0,0.0,0.0,0.0,0.0,0.0
Mensenlinq.nl,0.0,0.0,0.0,1.0,0.0,0.0
Metronieuws.nl,0.0,0.0,0.0,1.0,0.0,0.0
Mijnio.nl,0.0,0.0,0.0,0.0,0.0,0.0
Mijnwebwinkel.nl,0.0,0.0,0.0,0.0,0.0,0.0
Mijnwoordenboek.nl,0.0,0.0,0.0,1.0,0.0,0.0
Monsterboard.nl,0.0,0.0,0.0,0.0,0.0,0.0
Nationalevacaturebank.nl,0.0,0.0,0.0,0.0,0.0,0.0
Neckermann.nl,0.0,0.0,0.0,1.0,0.0,0.0
Niedziela.nl,0.0,0.0,0.0,0.0,0.0,0.0
Noordhoff.nl,0.0,0.0,0.0,1.0,0.0,0.0
Nos.nl,0.0,0.0,0.0,0.0,0.0,0.0
Npo.nl,0.0,0.0,0.0,0.0,0.0,0.0
Nrc.nl,0.0,0.0,0.0,0.0,0.0,0.0
Ns.nl,0.0,0.0,0.0,0.0,0.0,0.0
Nu.nl,0.0,0.0,0.0,0.0,0.0,0.0
Nujij.nl,0.0,0.0,0.0,1.0,0.0,0.0
Nuon.nl,0.0,0.0,0.0,0.0,0.0,0.0
Ohra.nl,0.0,0.0,1.0,1.0,0.0,0.0
Omroepbrabant.nl,0.0,0.0,1.0,1.0,0.0,0.0
Online.nl,0.0,0.0,0.0,1.0,0.0,0.0
Onlinesoccermanager.nl,0.0,0.0,0.0,0.0,0.0,0.0
Otto.nl,0.0,0.0,0.0,0.0,0.0,0.0
Ov-chipkaart.nl,0.0,0.0,0.0,0.0,0.0,0.0
Overheid.nl,0.0,0.0,0.0,1.0,0.0,0.0
Parool.nl,0.0,0.0,0.0,1.0,0.0,0.0
Pathe.nl,0.0,0.0,0.0,0.0,0.0,0.0
Postnl.nl,0.0,0.0,0.0,0.0,0.0,0.0
Praxis.nl,0.0,0.0,0.0,0.0,0.0,0.0
Qassa.nl,0.0,0.0,0.0,1.0,0.0,0.0
Rabobank.nl,0.0,0.0,0.0,1.0,0.0,0.0
Randstad.nl,0.0,0.0,0.0,1.0,0.0,0.0
Rdw.nl,0.0,0.0,0.0,1.0,0.0,0.0
Rechtspraak.nl,0.0,0.0,0.0,0.0,0.0,0.0
Reclamefolder.nl,0.0,0.0,0.0,0.0,0.0,0.0
Rijksoverheid.nl,0.0,0.0,0.0,1.0,0.0,0.0
Route.nl,0.0,0.0,0.0,1.0,0.0,0.0
Routenet.nl,0.0,0.0,0.0,1.0,0.0,0.0
Rtl.nl,0.0,0.0,0.0,0.0,0.0,0.0
Rtlnieuws.nl,0.0,0.0,0.0,0.0,0.0,0.0
Rtlxl.nl,0.0,0.0,0.0,0.0,0.0,0.0
Ru.nl,0.0,0.0,0.0,1.0,0.0,0.0
Rug.nl,0.0,0.0,0.0,1.0,0.0,0.0
Sarenza.nl,0.0,0.0,0.0,1.0,0.0,0.0
Saxion.nl,0.0,0.0,0.0,1.0,0.0,0.0
Schiphol.nl,0.0,0.0,0.0,1.0,0.0,0.0
Skyscanner.nl,0.0,0.0,0.0,0.0,0.0,0.0
Smulweb.nl,0.0,0.0,0.0,1.0,0.0,0.0
Snsbank.nl,0.0,0.0,0.0,0.0,0.0,0.0
Somtoday.nl,0.0,0.0,0.0,1.0,0.0,0.0
Spele.nl,0.0,0.0,0.0,0.0,0.0,0.0
Spelletjes.nl,0.0,0.0,0.0,0.0,0.0,0.0
Spelpunt.nl,0.0,0.0,0.0,1.0,0.0,0.0
Speurders.nl,0.0,0.0,0.0,1.0,0.0,0.0
Staatsloterij.nl,0.0,0.0,0.0,0.0,0.0,0.0
Startpagina.nl,0.0,0.0,0.0,0.0,0.0,0.0
Studielink.nl,0.0,0.0,0.0,0.0,0.0,0.0
Studiemeter.nl,1.0,0.0,1.0,1.0,0.0,1.0
Sunweb.nl,0.0,0.0,0.0,0.0,0.0,0.0
Surfconext.nl,0.0,1.0,0.0,1.0,0.0,0.0
Svb.nl,0.0,0.0,0.0,1.0,0.0,0.0
T-mobile.nl,0.0,0.0,0.0,1.0,0.0,0.0
Tele2.nl,0.0,0.0,0.0,1.0,0.0,0.0
Telefoonboek.nl,0.0,0.0,0.0,1.0,0.0,0.0
Telegraaf.nl,0.0,0.0,0.0,1.0,0.0,0.0
Telfort.nl,0.0,0.0,0.0,0.0,0.0,0.0
Thuisbezorgd.nl,0.0,0.0,0.0,1.0,0.0,0.0
Ticketswap.nl,0.0,0.0,0.0,0.0,0.0,0.0
Tmgonlinemedia.nl,0.0,0.0,0.0,0.0,0.0,0.0
Toernooi.nl,0.0,0.0,0.0,0.0,0.0,0.0
Toeslagen.nl,0.0,0.0,0.0,1.0,0.0,0.0
Transip.nl,0.0,0.0,0.0,0.0,0.0,0.0
Triodos.nl,0.0,0.0,0.0,1.0,0.0,0.0
Tripadvisor.nl,0.0,0.0,0.0,0.0,0.0,0.0
Trivago.nl,0.0,0.0,0.0,0.0,0.0,0.0
Trouw.nl,0.0,0.0,0.0,0.0,0.0,0.0
Tubantia.nl,0.0,0.0,0.0,1.0,0.0,0.0
Tudelft.nl,0.0,0.0,0.0,1.0,0.0,0.0
Tui.nl,0.0,0.0,0.0,0.0,0.0,0.0
Tvgids.nl,0.0,0.0,0.0,1.0,0.0,0.0
Utopiatv.nl,0.0,0.0,0.0,0.0,0.0,0.0
Utwente.nl,0.0,0.0,0.0,0.0,0.0,0.0
Uu.nl,0.0,0.0,0.0,0.0,0.0,0.0
Uva.nl,0.0,0.0,0.0,1.0,0.0,0.0
Uwv.nl,0.0,0.0,0.0,1.0,0.0,0.0
Vagina.nl,0.0,0.0,0.0,1.0,0.0,0.0
Vakantiediscounter.nl,0.0,0.0,0.0,0.0,0.0,0.0
Vakantieveilingen.nl,0.0,0.0,0.0,0.0,0.0,0.0
Vara.nl,0.0,0.0,0.0,1.0,0.0,0.0
Vergelijk.nl,0.0,0.0,0.0,0.0,0.0,0.0
Vi.nl,0.0,0.0,0.0,0.0,0.0,0.0
Vidaxl.nl,0.0,0.0,0.0,0.0,0.0,0.0
Vinden.nl,0.0,0.0,0.0,1.0,0.0,0.0
Viralmundo.nl,0.0,0.0,0.0,0.0,0.0,0.0
Viraltrend.nl,0.0,0.0,1.0,1.0,0.0,0.0
Viva.nl,0.0,0.0,0.0,1.0,0.0,0.0
Vodafone.nl,0.0,0.0,0.0,0.0,0.0,0.0
Voedingscentrum.nl,0.0,0.0,0.0,1.0,0.0,0.0
Voetbalprimeur.nl,0.0,0.0,0.0,1.0,0.0,0.0
Voetbalzone.nl,0.0,0.0,0.0,1.0,0.0,0.0
Volkskrant.nl,0.0,0.0,0.0,0.0,0.0,0.0
Vrouw.nl,0.0,0.0,0.0,1.0,0.0,0.0
Vu.nl,0.0,0.0,0.0,1.0,0.0,0.0
Weer.nl,0.0,0.0,0.0,1.0,0.0,1.0
Weeronline.nl,0.0,0.0,0.0,1.0,0.0,0.0
Weerplaza.nl,0.0,0.0,0.0,0.0,0.0,0.0
Wehkamp.nl,0.0,0.0,0.0,1.0,0.0,0.0
Werk.nl,0.0,0.0,0.0,0.0,0.0,0.0
Wrts.nl,0.0,0.0,0.0,0.0,0.0,0.0
Xcams.nl,0.0,0.0,0.0,0.0,0.0,0.0
Xs4all.nl,0.0,0.0,0.0,0.0,0.0,0.0
Zalando-lounge.nl,0.0,0.0,0.0,0.0,0.0,0.0
Zalando.nl,0.0,0.0,0.0,0.0,0.0,0.0
Zeelandnet.nl,0.0,0.0,0.0,1.0,0.0,0.0
Ziggo.nl,0.0,1.0,0.0,0.0,0.0,1.0
Zoover.nl,0.0,0.0,0.0,1.0,0.0,0.0
